date,partner,imports,exports,total
2020-07,Thailand,284087850,54359810,338447660
2020-07,Spain,218410773,112655347,331066120
2020-08,United States of America,23581968237,33320135338,56902103575
2020-08,China,7049051535,2025983536,9075035071
2020-08,Mexico,2543730041,483673271,3027403312
2020-08,Germany,1356543065,538540328,1895083393
2020-08,Japan,987102894,883767328,1870870222
2020-08,United Kingdom,582914512,1211493049,1794407561
2020-08,"Korea, South",791143916,338651924,1129795840
2020-08,Italy,691112593,252467552,943580145
2020-08,Viet Nam,880550267,50830532,931380799
2020-08,Brazil,681099865,159629504,840729369
2020-08,France,499422709,327933120,827355829
2020-08,India,384309846,331016592,715326438
2020-08,Switzerland,586660401,121369280,708029681
2020-08,Netherlands,231712265,447517949,679230214
2020-08,Taiwan,431925581,130782887,562708468
2020-08,Peru,368102661,103542477,471645138
2020-08,Belgium,274734667,179135259,453869926
2020-08,Thailand,277447780,92853893,370301673
2020-08,Australia,138039438,170225959,308265397
2020-08,Spain,219057727,67784598,286842325
2020-09,United States of America,24162099894,34632899953,58794999847
2020-09,China,6778684711,2229027509,9007712220
2020-09,Mexico,2571465024,596979315,3168444339
2020-09,Japan,1317097302,1030591431,2347688733
2020-09,Germany,1572210124,699516365,2271726489
2020-09,United Kingdom,616904669,1618461575,2235366244
2020-09,"Korea, South",893326576,384235434,1277562010
2020-09,Italy,845516432,310291081,1155807513
2020-09,France,548637637,403033083,951670720
2020-09,India,476527289,326789656,803316945
2020-09,Netherlands,315579442,472091645,787671087
2020-09,Viet Nam,739335945,43099412,782435357
2020-09,Switzerland,528623140,164425897,693049037
2020-09,Taiwan,474004856,138168601,612173457
2020-09,Brazil,453240322,138017420,591257742
2020-09,Belgium,335762535,205239098,541001633
2020-09,Spain,342499433,120665498,463164931
2020-09,Australia,224062197,154762836,378825033
2020-09,Thailand,294517102,69569131,364086233
2020-09,Peru,278968459,54426847,333395306
2020-10,United States of America,23599176363,35005861745,58605038108
2020-10,China,8144707517,2251612232,10396319749
2020-10,Mexico,2881593960,588872016,3470465976
2020-10,United Kingdom,724485257,1846739057,2571224314
2020-10,Japan,1352631583,1044205730,2396837313
2020-10,Germany,1598835260,561330515,2160165775
2020-10,"Korea, South",898452609,355440559,1253893168
2020-10,Italy,823332135,290561610,1113893745
2020-10,Viet Nam,1014510246,55663132,1070173378
2020-10,France,597594822,309319058,906913880
2020-10,Netherlands,296108123,601017853,897125976
2020-10,India,535670664,307692429,843363093
2020-10,Brazil,614509654,137157500,751667154
2020-10,Switzerland,505029364,177570797,682600161
2020-10,Taiwan,520301393,145908090,666209483
2020-10,Belgium,293930648,254809664,548740312
