date,code,hs2,imports,exports,commodity,total
2019-01,SK,72,24890366.0,1723959.0,Iron & steel,26614325.0
2019-01,MB,72,16679944.0,9008028.0,Iron & steel,25687972.0
2019-01,NL,73,25356672.0,10380.0,Articles of iron & steel,25367052.0
2019-01,ZZ,64,0.0,25296590.0,Footwear,25296590.0
2019-01,QC,15,11773282.0,13403338.0,Animal/veg fats & oils,25176620.0
2019-01,NS,73,16216240.0,8889841.0,Articles of iron & steel,25106081.0
2019-01,AB,95,24501313.0,553089.0,Toys & sports equipment,25054402.0
2019-01,MB,28,8105174.0,16778419.0,Inorganic chemicals,24883593.0
2019-01,QC,69,23821534.0,666405.0,Ceramic products,24487939.0
2019-01,MB,07,8748747.0,15647599.0,Vegetables,24396346.0
2019-01,BC,49,18204990.0,6132165.0,Printed books & media,24337155.0
2019-01,PE,20,0.0,24309106.0,Prepared vegetables,24309106.0
2019-01,AB,11,835317.0,23397305.0,Milling products,24232622.0
2019-01,BC,12,20468707.0,3582484.0,Oil seeds,24051191.0
2019-01,QC,04,15346973.0,8036243.0,Dairy products,23383216.0
2019-01,BC,86,22579740.0,343622.0,Railway equipment,22923362.0
2019-01,ON,93,18923827.0,3996299.0,Arms & ammunition,22920126.0
2019-01,QC,55,19348151.0,3437535.0,Man-made staple fibres,22785686.0
2019-01,BC,10,18158440.0,4264065.0,Cereals,22422505.0
2019-01,SK,44,1731974.0,20472953.0,Wood & wood articles,22204927.0
2019-01,ZZ,61,0.0,22017402.0,Knitted apparel,22017402.0
2019-01,NS,39,5141646.0,16495631.0,Plastics,21637277.0
2019-01,QC,56,15863703.0,5672006.0,Wadding & felt,21535709.0
2019-01,NL,48,287022.0,21174928.0,Paper & paperboard,21461950.0
2019-01,ON,65,19653500.0,1781099.0,Headgear,21434599.0
2019-01,ON,43,14547930.0,6622586.0,Furskins,21170516.0
2019-01,ZZ,29,0.0,20873176.0,Organic chemicals,20873176.0
2019-01,NS,48,1430932.0,19364882.0,Paper & paperboard,20795814.0
2019-01,ZZ,83,0.0,20690935.0,Miscellaneous metal articles,20690935.0
2019-01,ZZ,09,0.0,20624834.0,"Coffee, tea & spices",20624834.0
2019-01,ON,55,18638127.0,1602519.0,Man-made staple fibres,20240646.0
2019-01,BC,69,19603045.0,359560.0,Ceramic products,19962605.0
2019-01,BC,32,18315407.0,1509574.0,Tanning & dye extracts,19824981.0
2019-01,ZZ,72,0.0,19737488.0,Iron & steel,19737488.0
2019-01,BC,29,16190163.0,3523314.0,Organic chemicals,19713477.0
2019-01,NS,85,11312130.0,8210287.0,Electrical equipment,19522417.0
2019-01,AB,70,12419995.0,7041664.0,Glass,19461659.0
2019-01,ON,05,6898743.0,12494995.0,Other animal products,19393738.0
2019-01,SK,40,18632581.0,426120.0,Rubber,19058701.0
2019-01,NU,71,0.0,18945188.0,Precious metals & stones,18945188.0
2019-01,QC,59,8762993.0,9914672.0,Coated textiles,18677665.0
2019-01,BC,78,43971.0,18546216.0,Lead,18590187.0
2019-01,AB,68,14754363.0,3719920.0,Stone & cement articles,18474283.0
2019-01,AB,82,16120133.0,2340995.0,Tools & cutlery,18461128.0
2019-01,MB,76,12202467.0,5593300.0,Aluminium,17795767.0
2019-01,QC,78,449311.0,17184581.0,Lead,17633892.0
2019-01,ZZ,89,0.0,17568515.0,Ships & boats,17568515.0
2019-01,QC,35,11780172.0,5688097.0,Protein substances,17468269.0
2019-01,NB,39,12696561.0,4720846.0,Plastics,17417407.0
2019-01,AB,86,16841639.0,424108.0,Railway equipment,17265747.0
2019-01,BC,96,16985494.0,104053.0,Miscellaneous manufactures,17089547.0
2019-01,SK,01,1802565.0,15253001.0,Live animals,17055566.0
2019-01,MB,95,16625130.0,327517.0,Toys & sports equipment,16952647.0
2019-01,MB,34,16601662.0,722.0,Soap & cleaning products,16602384.0
2019-01,NB,78,2516.0,16433642.0,Lead,16436158.0
2019-01,MB,79,66348.0,16175995.0,Zinc,16242343.0
2019-01,ON,24,7756582.0,8397774.0,Tobacco,16154356.0
2019-01,SK,29,16040879.0,30906.0,Organic chemicals,16071785.0
2019-01,AB,19,8898262.0,7068543.0,Prepared cereals,15966805.0
2019-01,BC,06,10306317.0,5581309.0,Live trees & plants,15887626.0
2019-01,QC,86,11262819.0,4542094.0,Railway equipment,15804913.0
2019-01,QC,43,14920736.0,842667.0,Furskins,15763403.0
2019-01,NB,73,12316478.0,3444781.0,Articles of iron & steel,15761259.0
2019-01,MB,16,10174100.0,5552671.0,Prepared meat & fish,15726771.0
2019-01,NB,40,15669775.0,24360.0,Rubber,15694135.0
2019-01,AB,98,49232.0,15629716.0,Special transactions (CA),15678948.0
2019-01,BC,97,11847406.0,3706434.0,Works of art,15553840.0
2019-01,ZZ,82,0.0,15260085.0,Tools & cutlery,15260085.0
2019-01,NS,44,2462972.0,12703679.0,Wood & wood articles,15166651.0
2019-01,MB,68,14722524.0,402782.0,Stone & cement articles,15125306.0
2019-01,MB,25,14535298.0,192117.0,"Salt, sulphur, stone, cement",14727415.0
2019-01,BC,34,10484704.0,4237376.0,Soap & cleaning products,14722080.0
2019-01,QC,60,8504872.0,6136877.0,Knitted fabrics,14641749.0
2019-01,ZZ,76,0.0,14138617.0,Aluminium,14138617.0
2019-01,AB,21,12738588.0,1351106.0,Misc food preparations,14089694.0
2019-01,QC,93,3155766.0,10820040.0,Arms & ammunition,13975806.0
2019-01,ON,13,11572937.0,2230807.0,Resins & gums,13803744.0
2019-01,ZZ,42,0.0,13775014.0,Leather goods,13775014.0
2019-01,NS,08,318841.0,13326305.0,Fruit & nuts,13645146.0
2019-01,BC,30,9801369.0,3779750.0,Pharmaceuticals,13581119.0
2019-01,MB,11,1248204.0,12317215.0,Milling products,13565419.0
2019-01,SK,28,5728536.0,7575734.0,Inorganic chemicals,13304270.0
2019-01,ZZ,70,0.0,13244265.0,Glass,13244265.0
2019-01,MB,83,12184688.0,971040.0,Miscellaneous metal articles,13155728.0
2019-01,SK,99,6196628.0,6875812.0,Confidential / low-value (CA),13072440.0
2019-01,ON,78,1523140.0,11529159.0,Lead,13052299.0
2019-01,BC,18,6296213.0,6749852.0,Cocoa & cocoa products,13046065.0
2019-01,ON,58,8603619.0,4373085.0,Special woven fabrics,12976704.0
2019-01,QC,57,8814954.0,4097244.0,Carpets,12912198.0
